drug,plate,cell_line,magnitude,log1p_magnitude
Oxaliplatin,1,AN3 CA,2.5488338,1.2666191
PH-797804,1,AN3 CA,4.123109,1.6337614
Paclitaxel,1,AN3 CA,1.5800246,0.94779897
Pemigatinib,1,AN3 CA,5.22382,1.8283839
Pimitespib,1,AN3 CA,2.5474167,1.2662196
Pralsetinib,1,AN3 CA,11.018437,2.4864419
RMC-6236,1,AN3 CA,1.8293664,1.0400529
Regorafenib,1,AN3 CA,4.569157,1.7172437
SBI-0640756,1,AN3 CA,7.2606,2.1114972
Sapanisertib,1,AN3 CA,3.041323,1.3965721
TAK-733,1,AN3 CA,1.3968006,0.8741348
TAK-901,1,AN3 CA,3.4357107,1.4896878
Temuterkib,1,AN3 CA,3.0718033,1.404086
Tomivosertib,1,AN3 CA,2.9120443,1.36406
Torkinib,1,AN3 CA,1.7873871,1.0251046
Trametinib,1,AN3 CA,2.1848466,1.1584041
Tubulin inhibitor 6,1,AN3 CA,1.2611915,0.81589186
Tucatinib,1,AN3 CA,3.4928596,1.5024893
ULK-101,1,AN3 CA,4.4727488,1.699781
Vemurafenib,1,AN3 CA,4.9503984,1.7834582
Volasertib,1,AN3 CA,4.8096724,1.7595241
XRK3F2,1,AN3 CA,0.9393891,0.662373
palbociclib,1,AN3 CA,5.606405,1.8880396
venetoclax,1,AN3 CA,6.010724,1.947441
vincristine,1,AN3 CA,1.3725524,0.86396635
4EGI-1,1,AsPC-1,4.3002734,1.6677585
9-ING-41,1,AsPC-1,1.5533891,0.93742156
APTO-253,1,AsPC-1,1.9341651,1.0764229
AT7519,1,AsPC-1,3.1641722,1.4265175
AZD-7648,1,AsPC-1,1.4413636,0.8925567
AZD-8055,1,AsPC-1,7.4984818,2.1398876
AZD1390,1,AsPC-1,2.212973,1.1671968
AZD2858,1,AsPC-1,5.921428,1.9346222
Adagrasib,1,AsPC-1,0.46419394,0.3813049
Afatinib,1,AsPC-1,10.859747,2.47315
Alpelisib,1,AsPC-1,2.8749454,1.3545315
Anastrozole,1,AsPC-1,0.93928474,0.66231924
BAY1125976,1,AsPC-1,2.5850773,1.27678
BI-3406,1,AsPC-1,6.8768506,2.0639281
BI-78D3,1,AsPC-1,4.609255,1.7244179
Belumosudil (mesylate),1,AsPC-1,3.0767329,1.4052958
Bentamapimod,1,AsPC-1,4.410858,1.6884077
Bimiralisib,1,AsPC-1,7.8879447,2.1846957
Binimetinib,1,AsPC-1,14.654943,2.7507868
Bortezomib,1,AsPC-1,16.403715,2.8566837
Brivudine,1,AsPC-1,3.2703116,1.4516869
CP21R7,1,AsPC-1,2.8212574,1.3405795
Capivasertib,1,AsPC-1,1.5966264,0.954213
Capmatinib,1,AsPC-1,7.2646008,2.1119814
Celecoxib,1,AsPC-1,1.642173,0.9716017
DT-061,1,AsPC-1,2.6836615,1.3039073
Dabrafenib,1,AsPC-1,2.538559,1.2637196
ERK5-IN-2,1,AsPC-1,2.1554844,1.149142
ETC-206,1,AsPC-1,1.3943307,0.87310374
EX229,1,AsPC-1,1.9004441,1.0648639
Elimusertib hydrochloride,1,AsPC-1,12.551611,2.6065054
Encorafenib,1,AsPC-1,1.5551765,0.9381213
Erdafitinib,1,AsPC-1,4.3505993,1.6772085
Everolimus,1,AsPC-1,6.6822505,2.0389125
Futibatinib,1,AsPC-1,2.2078662,1.165606
GSK1059615,1,AsPC-1,5.447367,1.8636719
Gemcitabine,1,AsPC-1,4.1180625,1.6327759
HI-TOPK-032,1,AsPC-1,6.1667247,1.9694488
IQ 1,1,AsPC-1,0.7960543,0.5855922
Infigratinib,1,AsPC-1,10.57737,2.4490523
Ipatasertib,1,AsPC-1,3.8237696,1.5735557
Irinotecan,1,AsPC-1,7.967176,2.1935709
Ixazomib,1,AsPC-1,6.2654653,1.9831324
LB-100,1,AsPC-1,2.0905516,1.1283495
LJI308,1,AsPC-1,5.491451,1.870486
LY-2584702 (tosylate salt),1,AsPC-1,2.5901203,1.2781857
LY2090314,1,AsPC-1,1.9658518,1.0871643
Lapatinib ditosylate,1,AsPC-1,4.661596,1.7337058
Lonafarnib,1,AsPC-1,3.482564,1.5001951
MK-3903,1,AsPC-1,2.9355044,1.3700391
MK-8353,1,AsPC-1,1.9237831,1.0728784
ML264,1,AsPC-1,2.098009,1.1307597
Minodronic acid,1,AsPC-1,2.0262494,1.107324
NG25,1,AsPC-1,4.7530894,1.749737
NVP-BHG712,1,AsPC-1,0.83690166,0.60808027
OTS514,1,AsPC-1,0.63904077,0.49411118
Oleic acid,1,AsPC-1,3.6667006,1.5404524
Oxaliplatin,1,AsPC-1,2.2024746,1.1639239
PH-797804,1,AsPC-1,3.2956226,1.4575965
Paclitaxel,1,AsPC-1,5.020964,1.7952474
Pemigatinib,1,AsPC-1,3.59949,1.5259454
Pimitespib,1,AsPC-1,4.070188,1.6233779
Pralsetinib,1,AsPC-1,12.201825,2.5803552
RMC-6236,1,AsPC-1,1.5247153,0.92612827
Regorafenib,1,AsPC-1,4.539003,1.7118145
SBI-0640756,1,AsPC-1,6.714298,2.0430756
Sapanisertib,1,AsPC-1,1.1551075,0.7678406
TAK-733,1,AsPC-1,1.5379992,0.93137604
TAK-901,1,AsPC-1,2.3039758,1.1951265
Temuterkib,1,AsPC-1,5.5562234,1.8804147
Tomivosertib,1,AsPC-1,2.4549682,1.2398132
Torkinib,1,AsPC-1,1.0413094,0.71359146
Trametinib,1,AsPC-1,1.5836308,0.9491957
Tubulin inhibitor 6,1,AsPC-1,0.677196,0.51712334
Tucatinib,1,AsPC-1,1.6061094,0.95785844
ULK-101,1,AsPC-1,3.135356,1.4195734
Vemurafenib,1,AsPC-1,8.214842,2.2208154
Volasertib,1,AsPC-1,5.489201,1.8701394
XRK3F2,1,AsPC-1,2.4539242,1.239511
palbociclib,1,AsPC-1,7.965905,2.193429
venetoclax,1,AsPC-1,12.942341,2.6349304
vincristine,1,AsPC-1,2.3558118,1.2106937
4EGI-1,1,BT-474,0.73884356,0.5532203
9-ING-41,1,BT-474,2.6024077,1.2816024
APTO-253,1,BT-474,0.75000155,0.5596167
AT7519,1,BT-474,1.0273542,0.7067316
AZD-7648,1,BT-474,2.6884737,1.3052127
AZD-8055,1,BT-474,1.344503,0.85207343
AZD1390,1,BT-474,5.1818633,1.8216197
AZD2858,1,BT-474,3.1779985,1.4298323
Adagrasib,1,BT-474,1.9215653,1.0721195
Afatinib,1,BT-474,5.449764,1.8640435
Alpelisib,1,BT-474,1.7857131,1.024504
Anastrozole,1,BT-474,3.01582,1.3902416
BAY1125976,1,BT-474,1.0714709,0.7282589
BI-3406,1,BT-474,1.1427753,0.7621019
BI-78D3,1,BT-474,2.0657399,1.120289
Belumosudil (mesylate),1,BT-474,0.59387696,0.4661694
Bentamapimod,1,BT-474,1.0213815,0.7037812
Bimiralisib,1,BT-474,1.0953418,0.7397167
Binimetinib,1,BT-474,6.707685,2.042218
Bortezomib,1,BT-474,7.6380725,2.1561794
Brivudine,1,BT-474,0.76536876,0.5683596
CP21R7,1,BT-474,1.5723159,0.94480664
Capivasertib,1,BT-474,0.35170743,0.30136856
Capmatinib,1,BT-474,3.0043747,1.3873874
Celecoxib,1,BT-474,2.4991913,1.2525319
DT-061,1,BT-474,0.8291304,0.60384065
Dabrafenib,1,BT-474,2.9235878,1.3670065
ERK5-IN-2,1,BT-474,1.8215725,1.0372944
ETC-206,1,BT-474,2.0537903,1.1163836
EX229,1,BT-474,0.9343409,0.6597667
Elimusertib hydrochloride,1,BT-474,1.5924324,0.95259655
Encorafenib,1,BT-474,1.5813477,0.9483116
Erdafitinib,1,BT-474,3.0432296,1.3970438
Everolimus,1,BT-474,3.7362652,1.5552489
Futibatinib,1,BT-474,4.0835214,1.6260042
GSK1059615,1,BT-474,2.6099381,1.2836907
Gemcitabine,1,BT-474,1.933243,1.0761087
HI-TOPK-032,1,BT-474,1.609214,0.959049
IQ 1,1,BT-474,2.7405565,1.3192344
Infigratinib,1,BT-474,7.0740104,2.0886502
Ipatasertib,1,BT-474,0.4273075,0.35578978
Irinotecan,1,BT-474,3.932642,1.5958748
Ixazomib,1,BT-474,3.6977987,1.5470941
LB-100,1,BT-474,0.90961665,0.6469025
LJI308,1,BT-474,4.319586,1.6713954
