drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist,median_log1p_mag,moa
Paclitaxel,3.0032112969372013,3.204873353495619,144,1.5998621,Microtubule inhibitor
Palmatine (chloride),2.1473950353642595,2.1106410877165382,192,1.2702634,unclear
Panobinostat,4.73372223194154,4.584552377223693,144,3.1751552,HDAC inhibitor
Pasireotide (acetate),2.534039283204721,2.4374584065852223,192,1.8010058,unclear
Pemetrexed,2.220300450326561,2.1486160334630116,140,1.5328732,DNA synthesis/repair inhibitor
Pemigatinib,2.11988178381223,2.036063747447624,109,1.2231445,Other TK inhibitor
Penfluridol,2.0815494582626717,2.114308487461246,141,0.87402207,unclear
Pentagastrin,2.090005190891083,2.0701060581256936,192,1.1685395,unclear
Pentamidine (isethionate),2.0418546667438373,2.0440643319919007,237,1.4179653,unclear
Pentoxifylline,2.3752900715937173,2.288873303662987,144,1.1222701,unclear
Peretinoin,2.995592349630484,2.844689656061855,141,1.34682,Retinoic receptor agonist
Perindopril (erbumine),1.433762129397012,1.357534025533682,143,0.90956753,unclear
Pexidartinib (hydrochloride),3.091558536589766,2.644916318479605,142,1.9884379,Multi-TK inhibitor
Phenylephrine (hydrochloride),2.182258407230772,2.187674596746938,144,0.9913618,Adrenoceptor agonist
Phenytoin (sodium),2.0727724779941235,1.8313381843782122,140,1.2767079,unclear
Pimitespib,2.550340070551604,2.564203632631103,142,1.6936805,unclear
Pimozide,2.2787599689749145,2.1918679858768506,140,1.1219037,unclear
Pioglitazone,2.302205907208379,2.0068416475157846,143,0.9268604,unclear
Piroxicam,1.9151854043229921,2.0581562382198832,144,1.5561466,Cyclooxygenase inhibitor
Pitavastatin (Calcium),2.58169530073588,2.7517228200214205,140,1.9099535,unclear
Plicamycin,1.3702027841288804,1.231458199159323,48,0.80559444,unclear
Ponatinib,2.7825736000856307,2.854235134588344,143,1.7180021,Multi-TK inhibitor
Posaconazole,2.3561397564034015,2.495216311366184,143,1.5474333,unclear
Pralsetinib,2.7624141086070835,2.829000621162893,189,2.1115959,Other TK inhibitor
Pravastatin (sodium),2.172633076000456,2.2238942826518526,191,1.5597702,unclear
Procainamide (hydrochloride),2.0866138966888643,2.0289829500918164,141,1.2911438,DNA methyltransferase inhibitor
Proglumide,1.5608282039343806,1.5581803421040328,142,0.83183986,unclear
Pyridoxine,1.9529954284668638,1.9588565006769745,186,1.1914628,unclear
Pyridoxine (hydrochloride),2.228428401420594,2.3633304287572052,192,1.3567989,unclear
Quinestrol,2.1577103813222083,2.0750549487436976,192,0.90547645,unclear
Quinidine (15% dihydroquinidine),2.38966194837282,2.356365633701417,143,1.3037984,unclear
RMC-6236,2.9118475952824387,3.2213088414869664,144,1.3283184,RAS inhibitor
Radotinib,2.562459174244668,2.575984026138693,190,1.5922744,Other TK inhibitor
Ralimetinib dimesylate,3.5539348288662613,3.3999475151089658,142,1.3885107,Other MAPK inhibitor
Raltitrexed,1.734140450995079,1.639242234779344,190,1.2359571,DNA synthesis/repair inhibitor
Ranolazine,2.021972819019939,1.9836697147971474,144,0.84230626,unclear
Rapamycin,2.3600689978261506,2.2921441801815994,192,1.1738241,MTOR inhibitor
Regorafenib,2.315038244050691,2.2678851222122405,191,1.5129333,Multi-TK inhibitor
Relugolix,2.006378134458559,1.817304370840598,192,0.9943949,unclear
Resveratrol,2.289172899526688,2.1866261034025603,191,1.4766062,unclear
Retinoic acid,2.418595814079784,2.4458913727485987,192,1.2586519,Retinoic receptor agonist
Ribociclib,1.0372165974454526,0.9740919480465609,48,1.155345,CDK inhibitor
Rifaximin,1.4990231431233667,1.730065261866105,142,1.2348163,unclear
Riluzole hydrochloride,2.0002184990893737,1.983983955703924,192,1.1460428,unclear
Rimonabant,1.4894318775710715,1.4053469180364264,192,0.7660911,unclear
Rimonabant (Hydrochloride),1.0519825294425726,0.9313710056560388,48,1.2405353,unclear
Ritonavir,2.4510743812888838,2.4496277966191777,192,1.6868861,unclear
Ropivacaine (hydrochloride monohydrate),2.662740139405356,2.6224493395667667,190,1.6475499,unclear
Rosiglitazone,1.8236693854611468,1.7335735194017539,142,0.95511746,unclear
Roxadustat,3.096448705621019,3.006177798051807,141,1.4438992,unclear
Rucaparib (phosphate),2.201386523528817,2.1259488072593475,144,1.4403411,DNA synthesis/repair inhibitor
